geoname_id,cou_name_en,ascii_name,country_code
3583361,San Salvador,SV,525990
3513794,Cul de Sac,SX,8467
170063,Aleppo,SY,2098210
934995,Manzini,SZ,110537
3576994,Cockburn Town,TC,3720
2427123,N'Djamena,TD,721081
1546102,Port-aux-Français,TF,45
2365267,Lomé,TG,749700
1609350,Bangkok,TH,5104476
1221874,Dushanbe,TJ,679400
7522183,Atafu Village,TK,524
1645457,Dili,TL,150000
162183,Ashgabat,TM,727700
2464470,Tunis,TN,693210
4032402,Nuku‘alofa,TO,22400
3574810,Chaguanas,TT,67433
2110394,Funafuti,TV,4492
1668341,Taipei,TW,7871900
160263,Dar es Salaam,TZ,5383728
703448,Kyiv,UA,2797553
232422,Kampala,UG,1353189
5128581,New York City,US,8804190
3441575,Montevideo,UY,1270737
1512569,Tashkent,UZ,1978028
6691831,Vatican City,VA,829
3577887,Kingstown,VC,24518
3646738,Caracas,VE,3000000
3577430,Road Town,VG,8449
4796512,Saint Croix,VI,50601
1566083,Ho Chi Minh City,VN,8993082
2135171,Port-Vila,VU,35901
4034821,Mata-Utu,WF,1200
4035413,Apia,WS,40407
786714,Pristina,XK,550000
71137,Sanaa,YE,1937451
921815,Mamoudzou,YT,54831
993800,Johannesburg,ZA,5635127
909137,Lusaka,ZM,1267440
890299,Harare,ZW,1542813
